time,level,rain,acc_rain
2018122202,0.94,0,1599
2018122203,0.94,0,1599
2018122204,0.94,0,1599
2018122205,0.94,0,1599
2018122206,0.94,0,1599
2018122207,0.94,0,1599
2018122208,0.94,0,1599
2018122209,0.94,0,1599
2018122210,0.94,0,1599
2018122211,0.94,0,1599
2018122212,0.94,0,1599
2018122213,0.94,0,1599
2018122214,0.94,0,1599
2018122215,0.94,0,1599
2018122216,0.94,0,1599
2018122217,0.94,0,1599
2018122218,0.94,0,1599
2018122219,0.94,0,1599
2018122220,0.94,0,1599
2018122221,0.94,0,1599
2018122222,0.94,0,1599
2018122223,0.94,0,1599
2018122224,0.94,0,1599
2018122301,0.94,0,1599
2018122302,0.94,0,1599
2018122303,0.94,0,1599
2018122304,0.94,0,1599
2018122305,0.94,0,1599
2018122306,0.94,0,1599
2018122307,0.94,0,1599
2018122308,0.94,0,1599
2018122309,0.94,0,1599
2018122310,0.94,0,1599
2018122311,0.94,0,1599
2018122312,0.94,0,1599
2018122313,0.94,0,1599
2018122314,0.94,0,1599
2018122315,0.94,0,1599
2018122316,0.94,0,1599
2018122317,0.94,0,1599
2018122318,0.94,0,1599
2018122319,0.94,0,1599
2018122320,0.94,0,1599
2018122321,0.94,0,1599
2018122322,0.94,0,1599
2018122323,0.94,0,1599
2018122324,0.94,0,1599
2018122401,0.94,0,1599
2018122402,0.94,0,1599
2018122403,0.94,0,1599
2018122404,0.94,0,1599
2018122405,0.94,0,1599
2018122406,0.94,0,1599
2018122407,0.94,0,1599
2018122408,0.94,0,1599
2018122409,0.94,0,1599
2018122410,0.94,0,1599
2018122411,0.94,0,1599
2018122412,0.94,0,1599
2018122413,0.94,0,1599
2018122414,0.94,0,1599
2018122415,0.94,0,1599
2018122416,0.94,0,1599
2018122417,0.94,0,1599
2018122418,0.94,0,1599
2018122419,0.94,0,1599
2018122420,0.94,0,1599
2018122421,0.94,0,1599
2018122422,0.94,0,1599
2018122423,0.93,0,1599
2018122424,0.93,0,1599
2018122501,0.93,0,1599
2018122502,0.93,0,1599
2018122503,0.93,0,1599
2018122504,0.93,0,1599
2018122505,0.93,0,1599
2018122506,0.93,0,1599
2018122507,0.93,0,1599
2018122508,0.93,0,1599
2018122509,0.93,0,1599
2018122510,0.93,0,1599
2018122511,0.93,0,1599
2018122512,0.93,0,1599
2018122513,0.93,0,1599
2018122514,0.93,0,1599
2018122515,0.93,0,1599
2018122516,0.93,0,1599
2018122517,0.93,0,1599
2018122518,0.93,0,1599
2018122519,0.93,0,1599
2018122520,0.93,0,1599
2018122521,0.93,0,1599
2018122522,0.93,0,1599
2018122523,0.93,0,1599
2018122524,0.93,0,1599
2018122601,0.93,0,1599
2018122602,0.93,0,1599
2018122603,0.93,0,1599
2018122604,0.93,0,1599
2018122605,0.93,0,1599
2018122606,0.93,0,1599
2018122607,0.93,0,1599
2018122608,0.93,0,1599
2018122609,0.93,0,1599
2018122610,0.93,0,1599
2018122611,0.93,0,1599
2018122612,0.93,0,1599
2018122613,0.93,0,1599
2018122614,0.93,0,1599
2018122615,0.93,0,1599
2018122616,0.92,0,1599
2018122617,0.93,0,1599
2018122618,0.93,0,1599
2018122619,0.93,0,1599
2018122620,0.93,0,1599
2018122621,0.93,0,1599
2018122622,0.93,0,1599
2018122623,0.92,0,1599
2018122624,0.92,0,1599
2018122701,0.92,0,1599
2018122702,0.92,0,1599
2018122703,0.92,0,1599
2018122704,0.92,0,1599
2018122705,0.92,0,1599
2018122706,0.92,0,1599
2018122707,0.93,0,1599
